Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2022-02-12-11:42:33,0.101,0.9,0.25,0.16,0.39,0.35,0.5,0.7,0.8,0.9,1,-0.428177918254975
2022-02-12-11:43:28,0.1,0.1,0.9,0.25,0.16,0.39,0.35,0.5,0.7,0.8,0.9,-0.138613984000416
2022-02-12-11:43:55,0.1,0.1,0.9,0.25,0.6,0.9,0.35,0.5,0.5,0.8,0.98,0.263230685054289
2022-02-12-11:44:27,0.1,0.1,0,0.25,0.6,0.79,0.345,0.895,0.5,0.2,0.82,0.261161246772297
2022-02-12-11:46:58,0,0.01,0,0.0525,0.06,0.0769,0.01345,0.04895,0.095,0.0182,0.0852,0.883291210410429
2022-02-12-11:47:31,1,1,1,1,1,1,1,1,1,1,1,-0.876341997034387
2022-02-12-11:48:07,0,0,0,0,0,0,0,0,0,0,0,1.01525077588115
2022-02-12-11:48:34,0,0,0,0,0,0,0,0,0,0,1,1.01457913872577
2022-02-12-11:48:45,0,0,0,0,0,0,0,0,0,1,0,1.01311786435088
2022-02-12-11:48:53,0,0,0,0,0,0,0,0,1,0,0,-0.98126166213124
2022-02-12-11:49:02,0,0,0,0,0,0,0,1,0,0,0,1.01350056883494
2022-02-12-11:49:11,0,0,0,0,0,0,1,0,0,0,0,1.01300745785966
2022-02-12-11:49:20,0,0,0,0,0,1,0,0,0,0,0,1.01569322763468
2022-02-12-11:49:29,0,0,0,0,1,0,0,0,0,0,0,1.01182281497826
2022-02-12-11:49:39,0,0,0,1,0,0,0,0,0,0,0,2.01264284455319
2022-02-12-11:49:47,0,0,1,0,0,0,0,0,0,0,0,1.01401499565432
2022-02-12-11:49:56,0,1,0,0,0,0,0,0,0,0,0,1.0161707733413
2022-02-12-11:50:06,1,0,0,0,0,0,0,0,0,0,0,0.420732216770927
2022-02-12-11:50:41,1,1,0,0,0,0,0,0,0,0,0,0.424874901523831
2022-02-12-11:51:00,0,0,1,1,0,0,0,0,0,0,0,2.01439363256353
2022-02-12-11:51:18,0,0,0,0,1,1,0,0,0,0,0,1.01544275141754
2022-02-12-11:51:29,0,0,0,0,0,0,1,1,0,0,0,1.01079679623914
2022-02-12-11:51:40,0,0,0,0,0,0,0,0,1,1,0,-0.983260604629072
2022-02-12-11:51:51,0,0,0,0,0,0,0,0,0,1,1,1.01479395208404
2022-02-12-11:52:00,1,0,0,0,0,0,0,0,0,0,1,0.417282161414276
